customer_id,Name,age,gender,phone_number,customer_location,purchase_date,product_category,purchase_amount,preferred_payment_method,loyality_score,purchase_year,estimated_profit
44,Timoteo Hurdiss,15,Male,976-576-4656,Vijayawada,5.11.2021,Electronics,17408,Cash,97,2021,1740.8000000000002
45,Logan Huggons,45,Male,528-873-6340,Vizag,6.9.2022,Clothing,60320,Cash,86,2022,6032.0
46,Joelynn Lynagh,49,Male,948-442-8601,Kurnool,5.11.2023,Books,83020,Cash,20,2023,8302.0
47,Aylmar Lindroos,36,Male,818-746-8469,Kurnool,2.2.2021,Unkown,54156,Cash,91,2021,5415.6
48,Melvyn Trickett,57,Male,348-178-3447,Chittor,13.1.2023,Books,58401,Cash,58,2023,5840.1
49,Flossy Ulyet,29,Male,194-904-9313,Vijayawada,13.6.2021,Books,11362,Cash,47,2021,1136.2
50,Aaren Childrens,59,Male,832-787-5233,Kurnool,13.9.2021,Books,18086,Mobile payment,2,2021,1808.6000000000001
51,Archy Dickings,23,Unknown,242-446-2633,Guntur,15.5.2023,Unkown,82319,Mobile payment,61,2023,8231.9
52,Antoinette Goldine,38,Female,892-487-3539,Vijayawada,16.9.2022,Books,18732,Cash,30,2022,1873.2
53,Shalna Pischof,50,Unknown,526-707-8338,Unkown,15.1.2021,Books,53938,Mobile payment,99,2021,5393.8
54,Liane O'Collopy,44,Male,505-897-0063,Unkown,4.1.2023,Electronics,64322,Mobile payment,85,2023,6432.200000000001
55,Whitman Dudney,43,Female,525-439-3375,Vizag,24.5.2023,Groceries,85599,Credit card,41,2023,8559.9
56,Adelice O'Loinn,32,Unknown,667-431-7824,Vizag,4.3.2023,Electronics,87300,Credit card,26,2023,8730.0
57,Ruth Haet,52,Female,277-481-3338,Kurnool,4.5.2022,Toys,93348,Mobile payment,88,2022,9334.800000000001
58,Trumann Pakeman,27,Female,815-149-3574,Guntur,7.2.2022,Groceries,13529,Cash,4,2022,1352.9
59,Blair Lewinton,35,Male,606-920-6067,Chittor,15.11.2022,Toys,29258,Cash,22,2022,2925.8
60,Bibbie Seelbach,55,Unknown,988-191-9597,Vijayawada,25.1.2021,Toys,80662,Credit card,26,2021,8066.200000000001
61,Yul Alps,50,Male,140-838-9747,Unkown,11.3.2022,Groceries,91356,Cash,76,2022,9135.6
62,Dorrie Harnott,30,Female,363-860-2303,Vijayawada,26.3.2021,Groceries,96203,Cash,29,2021,9620.300000000001
63,Lacy Chalfont,40,Female,680-711-6406,Vijayawada,19.5.2023,Groceries,44929,Cash,24,2023,4492.900000000001
64,Danella Jeannaud,19,Male,118-288-7449,Kurnool,17.4.2022,Unkown,62301,Mobile payment,91,2022,6230.1
65,Peria Tytherton,37,Female,796-672-4071,Chittor,22.2.2022,Toys,98333,Cash,39,2022,9833.300000000001
66,Sidonia Ormesher,20,Male,548-385-1544,Unkown,15.10.2022,Electronics,70567,Credit card,62,2022,7056.700000000001
67,Mikey Hindrich,43,Female,199-451-5965,Chittor,28.9.2022,Toys,75213,Credit card,53,2022,7521.3
68,Jacinta Jope,51,Male,323-572-5740,Chittor,27.1.2021,Books,54727,Cash,35,2021,5472.700000000001
69,Theodor Verheijden,31,Unknown,414-226-3201,Vijayawada,20.6.2023,Groceries,80357,Credit card,56,2023,8035.700000000001
70,Vanya Warlock,42,Female,706-825-5204,Kurnool,24.4.2021,Groceries,48952,Mobile payment,85,2021,4895.2
71,Raymond Charnick,27,Female,660-979-9309,Guntur,12.6.2021,Books,76828,Cash,43,2021,7682.8
72,Val Lesor,47,Male,110-402-9396,Guntur,7.8.2022,Unkown,23638,Mobile payment,7,2022,2363.8
73,Nedda Stoak,47,Female,467-758-4065,Kurnool,4.6.2023,Groceries,79636,Credit card,29,2023,7963.6
74,Franky Salway,26,Female,389-785-8318,Kurnool,8.9.2023,Home Appliances,54156,Cash,69,2023,5415.6
75,Nevile Schulze,58,Unknown,270-147-2224,Guntur,5.9.2022,Books,96733,Cash,60,2022,9673.300000000001
76,Ludwig Petrovsky,53,Male,247-475-2401,Vijayawada,2.12.2022,Home Appliances,86648,Credit card,69,2022,8664.800000000001
77,Niven todor,35,Unknown,693-983-9783,Vijayawada,7.6.2021,Electronics,54156,Credit card,11,2021,5415.6
78,Jayson Newtown,59,Male,761-282-3799,Vijayawada,1.12.2021,Groceries,72520,Cash,57,2021,7252.0
79,Karrie Consadine,53,Male,682-484-0088,Kurnool,1.8.2021,Electronics,59187,Credit card,60,2021,5918.700000000001
80,Durward Leighfield,32,Female,203-503-7392,Vijayawada,20.9.2022,Books,12202,Mobile payment,64,2022,1220.2
81,Vivian Willarton,51,Female,546-399-0817,Kurnool,3.9.2021,Groceries,92174,Cash,19,2021,9217.4
82,Sarine Warton,53,Male,718-676-2690,Kurnool,21.11.2021,Groceries,28029,Credit card,54,2021,2802.9
83,Joane Garces,36,Female,860-428-3051,Kurnool,22.10.2022,Groceries,23005,Cash,100,2022,2300.5
84,Cherin Mc-Kerley,19,Male,514-540-6204,Kurnool,15.5.2021,Unkown,31241,Credit card,45,2021,3124.1000000000004
85,Jami Greenshields,32,Female,205-823-4939,Kurnool,9.9.2022,Home Appliances,42626,Mobile payment,44,2022,4262.6
86,Zeke Harbisher,19,Female,630-916-3418,Guntur,20.5.2023,Unkown,92333,Cash,85,2023,9233.300000000001
87,Inna Dykins,55,Female,919-459-8588,Vijayawada,21.4.2023,Unkown,20089,Cash,60,2023,2008.9
88,Fenelia Fulcher,52,Female,370-817-3000,Kurnool,29.8.2021,Home Appliances,66579,Mobile payment,88,2021,6657.900000000001
89,Michale Pavlovsky,49,Female,637-703-6425,Vizag,30.11.2023,Electronics,95885,Cash,56,2023,9588.5
90,Weylin Godspede,50,Female,538-833-1084,Guntur,15.6.2023,Clothing,23631,Cash,20,2023,2363.1
91,Cortney Boyse,19,Female,354-555-7282,Vijayawada,11.11.2023,Clothing,19184,Credit card,22,2023,1918.4
92,Baily Weadick,52,Unknown,479-387-3951,Vijayawada,23.3.2022,Electronics,67798,Cash,72,2022,6779.8
93,Tabbie Pierrepoint,25,Male,110-253-8118,Kurnool,2.6.2021,Electronics,64634,Mobile payment,25,2021,6463.400000000001
94,Rica Dimitrie,23,Male,909-434-7015,Kurnool,26.9.2022,Groceries,51286,Mobile payment,18,2022,5128.6
95,Bruno MacEnelly,54,Female,517-864-1512,Kurnool,22.10.2023,Clothing,62206,Mobile payment,81,2023,6220.6
96,Dianne Ashfold,45,Female,254-321-0611,Kurnool,24.9.2022,Electronics,49535,Credit card,81,2022,4953.5
97,Lazaro Spillane,55,Female,761-396-1142,Kurnool,9.12.2021,Groceries,46534,Credit card,78,2021,4653.400000000001
98,Cherry Mizen,33,Male,330-495-9387,Kurnool,9.11.2021,Books,27568,Cash,89,2021,2756.8
99,Tiphanie Birchall,21,Male,949-309-6527,Guntur,28.12.2023,Books,88258,Credit card,77,2023,8825.800000000001
100,Charlton Meysham,30,Male,559-822-3172,Kurnool,20.10.2023,Clothing,61565,Mobile payment,22,2023,6156.5
101,Levin Luke,53,Female,110-888-5850,Vizag,2.12.2022,Groceries,81019,Cash,78,2022,8101.900000000001
102,Deni Marston,46,Male,776-791-2995,Vijayawada,26.10.2023,Groceries,27313,Cash,67,2023,2731.3
103,Ruben Applegate,43,Female,377-549-2193,Unkown,23.4.2022,Books,77655,Cash,55,2022,7765.5
104,Jenn Fattorini,16,Male,340-781-9260,Chittor,11.5.2023,Electronics,29142,Cash,6,2023,2914.2000000000003
105,Tabitha Pelos,16,Male,249-528-4799,Kurnool,27.9.2023,Clothing,98069,Mobile payment,11,2023,9806.9
106,Harry Osgodby,39,Female,189-925-5930,Kurnool,17.1.2022,Books,98877,Cash,47,2022,9887.7
107,Maxine Ponting,34,Female,711-366-4155,Vijayawada,14.5.2022,Books,43242,Mobile payment,98,2022,4324.2
108,Alicea Draisey,35,Female,600-594-4974,Vijayawada,6.11.2022,Books,11916,Cash,15,2022,1191.6000000000001
109,Lizzie Mudd,39,Unknown,112-720-3082,Guntur,3.3.2022,Unkown,50777,Cash,71,2022,5077.700000000001
110,Arly Given,29,Male,813-314-9016,Vijayawada,27.4.2022,Electronics,53159,Credit card,78,2022,5315.900000000001
111,Theodoric Arias,16,Male,484-172-1810,Guntur,10.4.2023,Groceries,61117,Cash,46,2023,6111.700000000001
112,Mikey Powderham,39,Male,588-267-4446,Vijayawada,2.10.2021,Clothing,54156,Cash,59,2021,5415.6
113,Gracia Lorand,23,Male,905-574-9367,Vijayawada,15.6.2021,Home Appliances,82232,Cash,23,2021,8223.2
114,Jessa Jersh,58,Male,386-709-8051,Vijayawada,11.10.2022,Electronics,54156,Cash,27,2022,5415.6
115,Emlyn Iacovino,56,Unknown,658-362-7717,Kurnool,5.2.2023,Groceries,50965,Mobile payment,63,2023,5096.5
116,Marcelline Barday,26,Female,639-206-5555,Vijayawada,23.6.2022,Books,68079,Cash,52,2022,6807.900000000001
117,Clotilda Bebis,41,Female,734-710-2218,Vizag,9.12.2022,Groceries,54156,Cash,57,2022,5415.6
118,Chrysa Carrick,54,Female,997-137-5058,Vizag,10.1.2023,Groceries,14887,Credit card,25,2023,1488.7
119,Sabrina Lamdin,23,Male,238-196-5935,Kurnool,2.2.2023,Electronics,83057,Credit card,63,2023,8305.7
120,Raphaela Van Der Hoog,36,Female,586-808-3210,Kurnool,7.2.2023,Toys,89103,Credit card,46,2023,8910.300000000001
121,Cherice McOmish,53,Female,113-529-1769,Vijayawada,14.9.2021,Electronics,24285,Credit card,83,2021,2428.5
122,Chiquia Hamor,54,Unknown,840-988-3789,Kurnool,28.1.2022,Home Appliances,86301,Credit card,33,2022,8630.1
123,Ronald Danett,36,Female,330-925-8973,Chittor,7.6.2021,Groceries,37580,Mobile payment,92,2021,3758.0
124,Lindsay Iremonger,44,Female,982-852-1462,Chittor,25.5.2022,Groceries,15437,Cash,74,2022,1543.7
125,Eugenia Merrigan,36,Male,619-682-3031,Vijayawada,18.10.2022,Groceries,78459,Cash,24,2022,7845.900000000001
126,Sarge Spellacey,27,Unknown,643-191-9107,Vizag,15.9.2022,Clothing,72997,Credit card,99,2022,7299.700000000001
127,Breanne Camplen,28,Female,339-165-5468,Vijayawada,8.1.2022,Groceries,10796,Cash,69,2022,1079.6000000000001
128,Tabbie Bernardeau,59,Male,977-501-4786,Chittor,12.3.2022,Electronics,41035,Credit card,6,2022,4103.5
129,Tori Fann,59,Male,218-203-8960,Kurnool,22.6.2022,Books,12223,Mobile payment,67,2022,1222.3
130,Beale Stoneham,23,Female,326-164-1272,Vijayawada,11.11.2022,Toys,54156,Mobile payment,54,2022,5415.6
131,Chadd Burlingham,21,Female,452-130-4747,Unkown,28.4.2022,Books,25102,Credit card,84,2022,2510.2000000000003
132,Ethyl Mac Giolla Pheadair,40,Female,357-375-5611,Vizag,4.11.2021,Electronics,27899,Mobile payment,27,2021,2789.9
133,Griz Flippen,32,Male,606-288-0308,Kurnool,29.3.2023,Electronics,90082,Cash,21,2023,9008.2
134,Brita Gingell,60,Female,211-154-4957,Kurnool,31.10.2021,Clothing,49532,Cash,24,2021,4953.200000000001
135,Drona Dukes,57,Female,763-399-2886,Vijayawada,15.8.2022,Groceries,36272,Mobile payment,37,2022,3627.2000000000003
136,Beltran Leyman,57,Female,745-703-4558,Vijayawada,26.1.2021,Toys,58628,Credit card,94,2021,5862.8
137,Nicholas Romao,46,Male,952-365-6933,Guntur,13.4.2022,Groceries,50078,Cash,64,2022,5007.8
138,Caren Rillstone,32,Male,790-220-5113,Vizag,4.9.2023,Electronics,68103,Cash,1,2023,6810.3
139,Bar Arsey,21,Female,369-110-7524,Vijayawada,1.2.2023,Electronics,62610,Cash,39,2023,6261.0
140,Georgetta Flahy,50,Female,970-283-5703,Chittor,3.11.2021,Electronics,18803,Mobile payment,61,2021,1880.3000000000002
141,Colleen Whitmore,52,Female,880-411-5152,Vizag,6.7.2023,Home Appliances,97912,Cash,97,2023,9791.2
142,Eveleen Mandifield,28,Female,564-223-5120,Kurnool,23.1.2022,Groceries,84785,Credit card,77,2022,8478.5
143,Vassily Yearne,35,Female,537-937-4239,Vizag,15.8.2021,Books,54156,Mobile payment,22,2021,5415.6
144,Celestine Aimable,40,Male,429-865-8755,Guntur,1.9.2023,Books,60198,Cash,40,2023,6019.8
145,Christian Medgwick,54,Unknown,101-183-2043,Kurnool,2.9.2021,Clothing,54156,Credit card,23,2021,5415.6
146,Elyse Greetland,23,Female,942-597-1595,Kurnool,1.10.2023,Electronics,94101,Credit card,76,2023,9410.1
147,Lynne Middup,22,Female,491-543-5346,Chittor,22.4.2021,Books,86557,Cash,78,2021,8655.7
148,Hettie Adelman,51,Female,484-934-7680,Vizag,6.11.2023,Electronics,64786,Mobile payment,63,2023,6478.6
149,Andrea Koch,54,Male,234-936-4181,Guntur,31.8.2021,Books,30468,Mobile payment,46,2021,3046.8
150,Micheline Nottle,58,Female,480-138-2613,Vizag,27.8.2023,Electronics,77908,Credit card,41,2023,7790.8
151,Nanice Niave,38,Unknown,794-923-8390,Chittor,5.9.2022,Books,50559,Mobile payment,5,2022,5055.900000000001
152,Arv Avrasin,49,Female,954-514-6594,Vizag,19.3.2023,Electronics,11146,Cash,28,2023,1114.6000000000001
153,Ranee L'Episcopi,28,Male,862-583-8238,Kurnool,24.5.2023,Groceries,57681,Cash,4,2023,5768.1
154,Sileas Murford,32,Unknown,601-256-9534,Chittor,14.3.2021,Books,80893,Cash,12,2021,8089.3
155,Gaultiero Theaker,46,Female,845-261-0511,Chittor,27.1.2022,Electronics,76756,Cash,79,2022,7675.6
156,Berta Boydell,29,Female,100-355-7679,Kurnool,9.1.2022,Toys,93145,Cash,50,2022,9314.5
157,Arnold Deveril,27,Unknown,587-261-5736,Vizag,22.6.2022,Books,20852,Cash,90,2022,2085.2000000000003
158,Hortense Lafoy,41,Male,642-413-8176,Vijayawada,26.3.2021,Clothing,31675,Cash,45,2021,3167.5
159,Faulkner Saul,42,Male,569-972-7291,Vizag,19.7.2021,Home Appliances,51422,Credit card,100,2021,5142.200000000001
160,Claudell Lamerton,59,Male,897-656-5928,Vizag,30.9.2023,Groceries,31368,Credit card,64,2023,3136.8
161,Sheba Etheredge,28,Unknown,190-759-5432,Vizag,20.8.2022,Toys,35363,Cash,96,2022,3536.3
162,Jacinta Adnet,33,Male,208-291-2882,Kurnool,3.8.2021,Unkown,50110,Mobile payment,99,2021,5011.0
163,Franky Lidington,58,Male,154-593-7152,Vizag,8.6.2023,Toys,78494,Cash,5,2023,7849.400000000001
164,Felicdad Ramey,55,Female,929-302-9703,Kurnool,6.4.2023,Toys,56949,Cash,12,2023,5694.900000000001
165,Richmound Coleridge,26,Male,277-376-1860,Vijayawada,1.5.2021,Books,64784,Credit card,35,2021,6478.400000000001
166,Maitilde Baughn,45,Male,735-516-3951,Unkown,4.7.2021,Books,54156,Credit card,92,2021,5415.6
167,Chev Kennham,33,Female,784-104-3093,Vizag,17.10.2022,Electronics,92009,Cash,67,2022,9200.9
168,Tiffani Korfmann,22,Female,222-571-5462,Vijayawada,5.9.2022,Groceries,42446,Cash,59,2022,4244.6
169,Nisse Haskell,23,Female,456-729-9753,Chittor,20.9.2021,Books,14500,Mobile payment,75,2021,1450.0
170,Giovanni MacCafferky,42,Unknown,529-966-6448,Kurnool,6.1.2021,Groceries,19645,Cash,70,2021,1964.5
171,Antone Lenahan,34,Male,586-253-5296,Vizag,15.4.2023,Books,73021,Cash,85,2023,7302.1
172,Ariel Elfleet,36,Female,328-620-7715,Guntur,26.4.2022,Books,56773,Credit card,96,2022,5677.3
173,Melva Battyll,24,Female,936-282-8429,Kurnool,9.2.2022,Unkown,73738,Cash,44,2022,7373.8
174,Darsie Kondratyuk,29,Male,820-230-4204,Kurnool,21.4.2022,Home Appliances,90510,Credit card,88,2022,9051.0
175,Ruthann Carreck,57,Male,877-199-9847,Chittor,3.11.2022,Home Appliances,15733,Cash,71,2022,1573.3000000000002
176,Irving Wakelin,43,Unknown,423-751-5440,Kurnool,24.4.2022,Clothing,79044,Cash,55,2022,7904.400000000001
177,Freddy Dering,56,Male,513-992-4217,Guntur,6.1.2022,Electronics,81544,Cash,71,2022,8154.400000000001
178,Jeffy Templeton,40,Female,715-221-9441,Vizag,6.6.2022,Home Appliances,85961,Cash,100,2022,8596.1
179,Clyve de Lloyd,44,Female,736-253-4522,Vijayawada,26.4.2023,Books,54156,Cash,11,2023,5415.6
180,Noach MacDearmaid,26,Female,282-289-6243,Kurnool,17.10.2021,Books,77405,Cash,50,2021,7740.5
181,Vilma Sclanders,39,Female,594-317-7319,Kurnool,1.4.2023,Home Appliances,63870,Cash,29,2023,6387.0
182,Daryl Clempton,35,Male,416-131-4131,Chittor,23.7.2022,Clothing,39497,Mobile payment,37,2022,3949.7000000000003
183,Brooke Enriquez,46,Male,305-636-0533,Vijayawada,15.8.2021,Unkown,64128,Credit card,30,2021,6412.8
184,Iorgos Froude,40,Female,110-493-3980,Vizag,20.5.2021,Groceries,64253,Credit card,28,2021,6425.3
185,Lulu Heiss,21,Male,436-281-5436,Vijayawada,25.8.2023,Toys,14453,Cash,93,2023,1445.3000000000002
186,Rozamond Bambrick,33,Female,888-946-4410,Kurnool,10.7.2022,Groceries,85216,Cash,38,2022,8521.6
187,Inger Chippendale,38,Unknown,194-827-4212,Vizag,7.10.2021,Home Appliances,51585,Mobile payment,2,2021,5158.5
188,Aldwin Feaveryear,23,Female,546-145-4266,Guntur,3.1.2022,Clothing,85300,Cash,69,2022,8530.0
189,Jyoti Cromley,16,Male,716-161-2477,Guntur,12.6.2023,Unkown,98935,Cash,73,2023,9893.5
190,Ofilia Lias,37,Female,688-694-3793,Guntur,30.3.2023,Home Appliances,79576,Mobile payment,43,2023,7957.6
191,Pris Cabrales,60,Unknown,814-106-9288,Vijayawada,6.2.2022,Clothing,76708,Cash,81,2022,7670.8
192,Melessa Lisimore,33,Female,667-135-1028,Chittor,8.6.2021,Toys,25201,Credit card,59,2021,2520.1000000000004
193,Neala Brind,53,Female,836-686-7090,Vijayawada,8.6.2022,Groceries,64172,Mobile payment,28,2022,6417.200000000001
194,Laural Swalteridge,57,Unknown,745-279-5312,Guntur,17.9.2023,Electronics,26376,Cash,37,2023,2637.6000000000004
195,Derron Sherrett,22,Male,817-240-4657,Chittor,10.4.2022,Groceries,32523,Credit card,89,2022,3252.3
196,Tristan Collopy,59,Female,117-488-6184,Chittor,2.9.2022,Toys,54156,Cash,68,2022,5415.6
197,Caldwell Godier,43,Male,941-539-0850,Vizag,15.7.2023,Books,71842,Credit card,11,2023,7184.200000000001
198,Ario Semour,15,Male,748-826-8744,Kurnool,15.1.2022,Electronics,54156,Cash,79,2022,5415.6
199,Menard Berringer,42,Male,152-421-1760,Vizag,8.6.2022,Books,67540,Cash,59,2022,6754.0
200,Svend Keir,15,Male,172-144-1446,Kurnool,29.8.2022,Groceries,65411,Cash,35,2022,6541.1
201,Audy Cockson,55,Unknown,249-770-3675,Vijayawada,23.3.2023,Toys,95300,Credit card,9,2023,9530.0
202,Ewell Race,45,Female,285-968-6169,Vijayawada,28.3.2021,Electronics,69420,Mobile payment,47,2021,6942.0
203,Julius Bickerdike,36,Female,368-487-3140,Vijayawada,24.5.2023,Electronics,32220,Mobile payment,60,2023,3222.0
204,Morris McKellar,39,Male,306-340-5424,Kurnool,22.2.2023,Home Appliances,41278,Cash,54,2023,4127.8
205,Marylinda Tutchener,45,Female,609-424-6882,Vijayawada,1.11.2022,Books,30240,Mobile payment,48,2022,3024.0
206,Ethelda Petri,47,Female,674-766-4111,Vizag,14.7.2021,Electronics,26012,Mobile payment,31,2021,2601.2000000000003
207,Warren Duckerin,58,Male,387-227-3752,Kurnool,25.11.2021,Electronics,54156,Cash,75,2021,5415.6
208,Drud MacMenamie,42,Female,291-465-7487,Vizag,22.4.2023,Electronics,18425,Credit card,46,2023,1842.5
209,Edy Bucklee,28,Unknown,601-846-5244,Kurnool,28.6.2022,Books,15553,Cash,72,2022,1555.3000000000002
210,Giorgi Macklam,51,Female,387-396-7689,Kurnool,9.1.2023,Clothing,76626,Credit card,29,2023,7662.6
211,Annalise Mounsey,44,Unknown,953-127-7166,Guntur,16.5.2023,Electronics,25604,Credit card,83,2023,2560.4
212,Lonna Skewes,60,Male,341-650-7461,Guntur,25.4.2022,Toys,29670,Credit card,79,2022,2967.0
213,Obediah St Quenin,25,Female,298-229-9146,Guntur,2.7.2021,Books,54156,Cash,96,2021,5415.6
214,Drake Bassom,16,Female,975-916-6691,Kurnool,9.6.2023,Toys,67331,Cash,51,2023,6733.1
215,Kelila Eastmond,19,Female,621-459-4228,Vijayawada,2.7.2021,Books,65861,Cash,72,2021,6586.1
216,Christi Elham,17,Unknown,316-600-4878,Chittor,26.10.2021,Home Appliances,75376,Cash,61,2021,7537.6
217,Shelba Rountree,34,Female,380-826-8888,Kurnool,11.1.2023,Books,95946,Cash,79,2023,9594.6
218,Winnie Slayny,51,Unknown,564-727-2017,Kurnool,14.11.2022,Toys,26060,Credit card,17,2022,2606.0
219,Cass Mattei,38,Female,178-934-9350,Vijayawada,5.6.2023,Clothing,54156,Mobile payment,3,2023,5415.6
220,Rozelle Maestro,15,Female,434-318-9557,Vijayawada,2.2.2021,Electronics,87801,Cash,64,2021,8780.1
221,Milli Steagall,34,Female,186-781-2161,Vijayawada,15.5.2022,Books,21077,Cash,15,2022,2107.7000000000003
222,Alexei Corish,44,Female,346-618-0040,Kurnool,6.3.2021,Toys,54156,Cash,66,2021,5415.6
223,Luce Subhan,50,Female,273-821-9545,Chittor,18.11.2021,Books,17302,Cash,9,2021,1730.2
224,Kimberlee Reinard,19,Female,209-667-9276,Vijayawada,15.9.2022,Groceries,40375,Cash,11,2022,4037.5
225,Nicol Woodland,45,Female,608-912-2318,Vijayawada,10.3.2022,Toys,56486,Cash,20,2022,5648.6
226,Aubry Vernon,50,Female,724-172-9676,Guntur,5.1.2022,Electronics,93411,Mobile payment,13,2022,9341.1
227,Georgiana Jurzyk,24,Male,636-209-6382,Kurnool,6.6.2022,Groceries,17374,Cash,34,2022,1737.4
228,Rennie Vennard,30,Male,751-819-6089,Chittor,4.3.2022,Groceries,73894,Mobile payment,63,2022,7389.400000000001
229,Tommy Metheringham,18,Unknown,494-137-0111,Vijayawada,15.9.2021,Groceries,20609,Cash,81,2021,2060.9
230,Mareah Merricks,36,Female,384-978-5837,Vijayawada,23.7.2022,Electronics,24896,Cash,35,2022,2489.6000000000004
